  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 2412                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.3488   0.00000  -0.00109  -0.0487   0.0000   0.0000
  -4.000  -0.2280   0.00000  -0.00108  -0.0501   0.0000   0.0000
  -3.000  -0.1071   0.00000  -0.00107  -0.0515   0.0000   0.0000
  -2.000   0.0138   0.00000  -0.00106  -0.0529   0.0000   0.0000
  -1.000   0.1346   0.00000  -0.00106  -0.0543   0.0000   0.0000
   0.000   0.2555   0.00000  -0.00106  -0.0558   0.0000   0.0000
   1.000   0.3763   0.00000  -0.00107  -0.0572   0.0000   0.0000
   2.000   0.4969   0.00000  -0.00107  -0.0587   0.0000   0.0000
   3.000   0.6174   0.00000  -0.00108  -0.0602   0.0000   0.0000
   4.000   0.7378   0.00000  -0.00109  -0.0617   0.0000   0.0000
   5.000   0.8579   0.00000  -0.00111  -0.0632   0.0000   0.0000
